title,company,location,semantic_similarity,first_seen_date,url
Jefe de Tienda | All Saints Galeria Alto Las Condes,cencosud,"Santiago, REGION METROPOLITANA, CL",0.2432,2026-08-07,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14769?c=cencosud
Project Manager Logistica Sellers,Falabella Retail,"Las Condes, Metropolitana, Chile",0.485,2026-08-06,https://falabella.airavirtual.com/postula/B1r6bQepJRqV7z2GFnQN?logged_action=apply&register=true
Especialista Procurement Categoría Transportes - Última Milla,mercadolibre,"Región Metropolitana de Santiago,Chile",0.4499,2026-08-06,https://mercadolibre.eightfold.ai/careers/job/43690170
Ingeniero/a de Planificación Operativa,IKEA,"Pudahuel, Metropolitana, Chile",0.4206,2026-08-06,https://falabella.airavirtual.com/postula/INdkBytqWJ7uaSS1jBaF?logged_action=apply&register=true
Bodeguero/a Full Time - Preunic Quilicura,Preunic,"Quilicura, Metropolitana de Santiago",0.4096,2026-08-06,https://salcobrand.trabajando.cl/trabajo-empleo/bodeguero-a-full-time-preunic-quilicura/trabajo/6109961
Bodeguero/a Full Time - Preunic Las Condes,Preunic,"Las Condes, Metropolitana de Santiago",0.4023,2026-08-06,https://salcobrand.trabajando.cl/trabajo-empleo/bodeguero-a-full-time-preunic-las-condes/trabajo/6109958
Bodeguero/a Full Time - Preunic Ñuñoa,Preunic,"Ñuñoa, Metropolitana de Santiago",0.3969,2026-08-06,https://salcobrand.trabajando.cl/trabajo-empleo/bodeguero-a-full-time-preunic-nunoa/trabajo/6109960
"Ejecutivo/a Integral, Full Time, CMR Plaza Egaña",Banco Falabella,"La Reina, Metropolitana, Chile",0.3962,2026-08-06,https://falabella.airavirtual.com/postula/NldFghacY4nivrSUL2Jl?logged_action=apply&register=true
App Growth Manager | Paris.cl (Reemplazo),cencosud,"Santiago, REGION METROPOLITANA, CL",0.3725,2026-08-06,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14760?c=cencosud
Analista Senior de Tarjeta de créditos - Fintech,mercadolibre,"Región Metropolitana de Santiago,Chile",0.3664,2026-08-06,https://mercadolibre.eightfold.ai/careers/job/43680120
"Ejecutivo/a Integral, PT 20 hrs, Banco Falabella Linares",Banco Falabella,"Santiago, Metropolitana, Chile",0.3601,2026-08-06,https://falabella.airavirtual.com/postula/DMgPIx2oKSZl35w20snN?logged_action=apply&register=true
"Ejecutivo/a Integral, FT, Banco Falabella Talca CN",Banco Falabella,"Santiago, Metropolitana, Chile",0.3552,2026-08-06,https://falabella.airavirtual.com/postula/gUHhphAHz4ivWE4SYSWk?logged_action=apply&register=true
Category Planner Easy Reemplazo Maternal,cencosud,"Santiago, REGION METROPOLITANA, CL",0.3503,2026-08-06,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14758?c=cencosud
Administrativo/a CDA / Turno Tarde 5x2 Rotativo LOF 2,Falabella Retail,"San Bernardo, Metropolitana, Chile",0.3407,2026-08-06,https://falabella.airavirtual.com/postula/1DVRGEm305riPAY7prWg?logged_action=apply&register=true
Jefe Proyecto De Diseño Omnicanal,Walmart Chile,Santiago,0.2862,2026-08-06,https://postulawalmartchile.cl/vacante/detalle/4470509/external
Subgerente Diseño Nuevos Proyectos,Walmart Chile,Huechuraba,0.281,2026-08-06,https://postulawalmartchile.cl/vacante/detalle/4471359/external
Category Planner (Reemplazo pre y post natal),Preunic,"Santiago, Metropolitana de Santiago",0.5087,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/category-planner-reemplazo-pre-y-post-natal/trabajo/6109339
IT Business Consultant,Falabella Corporativo,"Santiago, Metropolitana, Chile",0.5003,2026-08-05,https://falabella.airavirtual.com/postula/Dj3HVOuhtdR3zrWvBqdv?logged_action=apply&register=true
Quality Engineer,Falabella Corporativo,"Santiago, Metropolitana, Chile",0.4877,2026-08-05,https://falabella.airavirtual.com/postula/Py3gZmsdZQTZmm0uiqyU?logged_action=apply&register=true
Ingeniero de Soporte,Falabella Retail,"Las Condes, Metropolitana, Chile",0.4755,2026-08-05,https://falabella.airavirtual.com/postula/F0z1pNYG4ahlP45lluWS?logged_action=apply&register=true
Ayudante de Producción - Plasco,CCU,"Renca, Metropolitana de Santiago, Chile",0.4689,2026-08-05,https://www.trabajaenccu.cl/trabajo/6109890-ayudante-de-produccion-plasco
Coordinador/a Asesoría Experta,Preunic,"Santiago, Metropolitana de Santiago",0.4428,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/coordinador-a-asesoria-experta/trabajo/6109714
Analista Experiencia de Clientes,Salcobrand,"Providencia, Metropolitana de Santiago",0.4423,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/analista-experiencia-de-clientes/trabajo/6109826
Senior Back End Software Engineer,Falabella Corporativo,"Santiago, Metropolitana, Chile",0.4306,2026-08-05,https://falabella.airavirtual.com/postula/rrtvH6Itn6dSrCmozyEA?logged_action=apply&register=true
Jefe Trade Marketing,Medcell,"Santiago, Metropolitana de Santiago",0.4253,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/jefe-trade-marketing/trabajo/6109336
Category Manager Non Food,Tottus,"Santiago, Metropolitana, Chile",0.4202,2026-08-05,https://falabella.airavirtual.com/postula/jlL2Jt3zT2aRur3A37mY?logged_action=apply&register=true
Analista de Planificación y Análisis Financiero,Seguros Falabella,"Las Condes, Metropolitana, Chile",0.4185,2026-08-05,https://falabella.airavirtual.com/postula/4cy08fkTWkHih2DCL51k?logged_action=apply&register=true
Lider Tecnico IA,Empresas SB,"Santiago, Metropolitana de Santiago",0.4019,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/lider-tecnico-ia/trabajo/6109747
Analista de Pricing Promocional,SMU,"Las Condes, Metropolitana de Santiago",0.401,2026-08-05,https://smu.trabajando.cl/trabajo-empleo/analista-de-pricing-promocional/trabajo/6109403
"Jefe/a Depto Operacional, FT42hrs, SHC LA REINA",Sodimac,"La Reina, Metropolitana, Chile",0.3992,2026-08-05,https://falabella.airavirtual.com/postula/j0EQLJ331WAxkqSNqoJq?logged_action=apply&register=true
Operario/a Integral ,Salcobrand,"Santiago, Metropolitana de Santiago",0.3969,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/operario-a-integral/trabajo/6109584
Bodeguero/a Full Time - Preunic Arauco Maipú ,Preunic,"Maipú, Metropolitana de Santiago",0.3934,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/bodeguero-a-full-time-preunic-arauco-maipu/trabajo/6109316
Operador/a CCTV - Las Condes,Empresas SB,"San Bernardo, Metropolitana de Santiago",0.3927,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/operador-a-cctv-las-condes/trabajo/6109346
Analista de Transporte - Mercado Envios,mercadolibre,"Región Metropolitana de Santiago,Chile",0.3918,2026-08-05,https://mercadolibre.eightfold.ai/careers/job/43569605
